type,latitude,longitude,direction,mrm,id,jurisdiction,route,description,rtmp_url,ios_url,rtsp_url,image_url,active
Traffic Camera,37.35102,-76.72991,EB,234.47,85209,Hampton Roads,I-64,I-64  /  MM 234.47  /  EB  /  0.3 Mi past Exit 234,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads885,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads885/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads885,https://images.skyvdn.com/thumbs/HamptonRoads885.flv.png,1
Traffic Camera,37.35552,-76.73389,WB,234.1,85219,Hampton Roads,I-64,I-64  /  MM 234.1  /  WB  /  0.2 Mi past Exit 234A,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads886,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads886/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads886,https://images.skyvdn.com/thumbs/HamptonRoads886.flv.png,1
Traffic Camera,37.27951,-76.6639,WB,240.46,85229,Hampton Roads,I-64,I-64  /  MM 240.46  /  WB  /  just past Colonial Pkwy overpass,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads871,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads871/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads871,https://images.skyvdn.com/thumbs/HamptonRoads871.flv.png,1
Traffic Camera,37.28156,-76.66647,WB,240.27,85240,Hampton Roads,I-64,I-64  /  MM 240.27  /  WB  /  0.3 Mi past Colonial Pkwy overpass,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads872,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads872/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads872,https://images.skyvdn.com/thumbs/HamptonRoads872.flv.png,1
Traffic Camera,37.28221,-76.66769,EB,240.2,85255,Hampton Roads,I-64,I-64  /  MM 240.2  /  EB  /  0.2 Mi past W Queens Rd overpass,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads873,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads873/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads873,https://images.skyvdn.com/thumbs/HamptonRoads873.flv.png,1
Traffic Camera,37.28952,-76.67265,WB,239.61,85272,Hampton Roads,I-64,I-64  /  MM 239.61  /  WB  /  0.3 Mi past W Queens Rd overpass,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads874,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads874/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads874,https://images.skyvdn.com/thumbs/HamptonRoads874.flv.png,1
Traffic Camera,37.29425,-76.67681,EB,239.24,85291,Hampton Roads,I-64,I-64  /  MM 239.24  /  EB  /  AT Queens Creek bridge,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads875,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads875/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads875,https://images.skyvdn.com/thumbs/HamptonRoads875.flv.png,1
Traffic Camera,37.30015,-76.68014,WB,238.81,85306,Hampton Roads,I-64,I-64  /  MM 238.81  /  WB  /  AT Exit 238,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads876,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads876/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads876,https://images.skyvdn.com/thumbs/HamptonRoads876.flv.png,1
Traffic Camera,37.30495,-76.6847,EB,238.39,85318,Hampton Roads,I-64,I-64  /  MM 238.39  /  EB  /  AT Exit 238,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads877,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads877/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads877,https://images.skyvdn.com/thumbs/HamptonRoads877.flv.png,1
Traffic Camera,37.31279,-76.69007,WB,237.82,85334,Hampton Roads,I-64,I-64  /  MM 237.82  /  WB  /  0.6 Mi past Camp Peary Hub,rtmp://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads878,http://s13.us-east-1.skyvdn.com:1935/rtplive/HamptonRoads878/playlist.m3u8,rtsp://s13.us-east-1.skyvdn.com/rtplive/HamptonRoads878,https://images.skyvdn.com/thumbs/HamptonRoads878.flv.png,1
